iter	Passed	Remaining
0	157	157141
1	169	84719
2	185	61554
3	200	49818
4	217	43256
5	229	38097
6	247	35054
7	256	31798
8	265	29273
9	274	27207
10	284	25556
11	293	24139
12	302	22961
13	311	21950
14	321	21100
15	330	20307
16	339	19616
17	347	18974
18	357	18451
19	366	17949
20	375	17498
21	384	17107
22	394	16753
23	403	16395
24	412	16086
25	421	15794
26	430	15503
27	439	15261
28	448	15026
29	457	14795
30	466	14576
31	475	14378
32	484	14184
33	493	14026
34	503	13869
35	512	13721
36	521	13572
37	530	13429
38	539	13285
39	547	13145
40	556	13005
41	564	12874
42	572	12747
43	581	12640
44	590	12535
45	599	12435
46	609	12352
47	618	12258
48	627	12170
49	636	12085
50	644	12001
51	653	11916
52	662	11833
53	670	11754
54	679	11678
55	688	11603
56	697	11532
57	705	11462
58	714	11394
59	723	11329
60	732	11270
61	740	11206
62	749	11152
63	758	11088
64	768	11054
65	777	11006
66	786	10951
67	795	10905
68	804	10854
69	813	10805
70	822	10758
71	830	10709
72	840	10673
73	849	10625
74	857	10579
75	866	10532
76	875	10493
77	884	10456
78	893	10419
79	902	10382
80	911	10343
81	920	10299
82	931	10289
83	945	10310
84	954	10273
85	963	10235
86	971	10194
87	980	10158
88	988	10118
89	997	10088
90	1006	10050
91	1015	10018
92	1024	9988
93	1032	9956
94	1041	9923
95	1050	9889
96	1058	9858
97	1067	9823
98	1075	9790
99	1084	9762
100	1093	9735
101	1102	9706
102	1111	9678
103	1119	9648
104	1127	9614
105	1136	9586
106	1145	9557
107	1153	9528
108	1162	9505
109	1171	9476
110	1175	9417
111	1185	9398
112	1194	9375
113	1203	9350
114	1211	9323
115	1220	9301
116	1229	9280
117	1238	9253
118	1247	9233
119	1255	9210
120	1264	9185
121	1272	9160
122	1281	9136
123	1290	9115
124	1298	9089
125	1307	9071
126	1316	9048
127	1325	9028
128	1334	9007
129	1342	8985
130	1351	8964
131	1359	8940
132	1368	8922
133	1377	8901
134	1386	8882
135	1394	8859
136	1403	8840
137	1412	8822
138	1420	8801
139	1430	8785
140	1439	8767
141	1447	8749
142	1456	8731
143	1466	8715
144	1475	8698
145	1484	8681
146	1493	8668
147	1503	8653
148	1512	8637
149	1521	8620
150	1530	8603
151	1539	8588
152	1548	8573
153	1557	8557
154	1566	8541
155	1576	8526
156	1585	8511
157	1593	8493
158	1602	8478
159	1611	8461
160	1620	8445
161	1629	8429
162	1638	8411
163	1647	8399
164	1653	8369
165	1662	8352
166	1670	8334
167	1679	8318
168	1689	8305
169	1698	8291
170	1707	8277
171	1716	8260
172	1725	8247
173	1734	8231
174	1743	8219
175	1753	8207
176	1762	8196
177	1771	8182
178	1781	8169
179	1789	8152
180	1798	8137
181	1807	8123
182	1817	8115
183	1827	8102
184	1837	8093
185	1847	8084
186	1857	8075
187	1868	8069
188	1879	8066
189	1893	8070
190	1904	8066
191	1914	8057
192	1924	8048
193	1934	8036
194	1944	8025
195	1953	8013
196	1962	7999
197	1972	7989
198	1981	7977
199	1990	7963
200	2000	7952
201	2009	7938
202	2019	7928
203	2028	7913
204	2037	7901
205	2046	7889
206	2056	7876
207	2065	7864
208	2074	7852
209	2083	7839
210	2093	7827
211	2102	7814
212	2112	7803
213	2121	7790
214	2129	7773
215	2138	7761
216	2147	7748
217	2156	7734
218	2164	7719
219	2173	7705
220	2182	7692
221	2192	7682
222	2201	7670
223	2210	7656
224	2219	7644
225	2228	7632
226	2237	7620
227	2247	7608
228	2256	7596
229	2265	7584
230	2274	7571
231	2283	7558
232	2292	7546
233	2301	7534
234	2311	7524
235	2320	7512
236	2329	7500
237	2339	7490
238	2348	7478
239	2357	7465
240	2366	7452
241	2375	7439
242	2384	7428
243	2393	7416
244	2403	7405
245	2412	7394
246	2421	7382
247	2430	7371
248	2439	7358
249	2449	7347
250	2458	7336
251	2468	7326
252	2477	7314
253	2486	7302
254	2495	7292
255	2504	7279
256	2514	7268
257	2524	7259
258	2533	7247
259	2541	7234
260	2551	7223
261	2560	7211
262	2569	7201
263	2579	7191
264	2588	7179
265	2596	7166
266	2606	7154
267	2614	7141
268	2622	7127
269	2631	7115
270	2640	7103
271	2649	7090
272	2657	7077
273	2666	7065
274	2675	7052
275	2684	7041
276	2692	7028
277	2701	7015
278	2710	7003
279	2719	6992
280	2728	6981
281	2736	6968
282	2746	6958
283	2755	6947
284	2764	6936
285	2775	6928
286	2786	6922
287	2797	6916
288	2809	6911
289	2821	6906
290	2831	6899
291	2844	6896
292	2855	6890
293	2865	6881
294	2876	6874
295	2886	6864
296	2896	6854
297	2905	6844
298	2915	6835
299	2925	6825
