iter	RMSE
0	222610.4988
1	215136.069
2	209277.9819
3	203475.6979
4	198088.7727
5	192596.21
6	186884.1866
7	182257.3246
8	177333.501
9	173272.2663
10	169995.4494
11	166831.264
12	163372.8284
13	159766.8206
14	156233.92
15	152296.3032
16	149221.4339
17	146102.6518
18	143281.841
19	140561.0005
20	138522.3418
21	136278.6668
22	133660.377
23	131645.85
24	129320.6305
25	127788.7516
26	125811.5773
27	124389.5522
28	123031.4485
29	121375.1377
30	119710.5606
31	118283.6206
32	117079.1132
33	115424.5989
34	114201.7354
35	112983.3851
36	111586.5869
37	110363.3961
38	109466.8797
39	108340.6189
40	107240.3675
41	106489.1482
42	105263.6672
43	104566.4891
44	103561.3676
45	102650.2257
46	101675.7158
47	100925.5595
48	100069.3445
49	99116.89027
50	98512.82826
51	97605.79324
52	96972.80382
53	96264.14941
54	95424.16988
55	94806.87747
56	94103.17464
57	93591.28349
58	93160.23368
59	92750.14397
60	92247.8621
61	91810.25238
62	91293.20806
63	90711.39044
64	90310.43032
65	89764.33222
66	89190.50225
67	88672.66737
68	88339.79937
69	87877.56693
70	87355.52933
71	87046.02989
72	86576.48975
73	86245.98137
74	85787.19101
75	85383.95242
76	85065.01957
77	84805.92833
78	84529.0781
79	84173.00519
80	83797.03647
81	83444.40925
82	83113.93871
83	82597.90448
84	82224.68079
85	81859.31114
86	81656.74389
87	81352.122
88	81202.24447
89	81000.53527
90	80762.39414
91	80469.66467
92	80270.29636
93	80003.85248
94	79781.11584
95	79569.43083
96	79313.48164
97	79054.25653
98	78777.27737
99	78611.60067
100	78315.16136
101	78074.44321
102	77892.96332
103	77535.37958
104	77171.97786
105	76905.64687
106	76812.24852
107	76518.69934
108	76318.70227
109	76164.89148
110	75936.13885
111	75692.70615
112	75386.6965
113	75191.33372
114	75002.96428
115	74858.6107
116	74608.21768
117	74424.55848
118	74058.61111
119	73839.43634
120	73635.20215
121	73497.68788
122	73170.23316
123	72994.56809
124	72854.28667
125	72669.77242
126	72440.4364
127	72355.25844
128	72254.75951
129	72087.93693
130	71940.44771
131	71731.07981
132	71618.97322
133	71471.15997
134	71243.54915
135	71137.15228
136	70947.53475
137	70826.55686
138	70741.30234
139	70668.26127
140	70518.77819
141	70339.46606
142	70155.40413
143	70082.67869
144	69890.79414
145	69819.10737
146	69580.20344
147	69278.23673
148	69116.26084
149	68831.94232
150	68631.04838
151	68520.384
152	68434.23509
153	68284.75978
154	68219.34958
155	68024.14573
156	67860.08158
157	67721.94958
158	67596.59881
159	67317.59426
160	67245.94724
161	67196.963
162	67096.4795
163	66940.16379
164	66788.86744
165	66442.18451
166	66266.43895
167	66097.14217
168	65901.49186
169	65832.4183
170	65709.84611
171	65589.81748
172	65488.7548
173	65441.29627
174	65040.20415
175	64802.11803
176	64686.49186
177	64565.80611
178	64391.0303
179	64306.45724
180	64202.71591
181	64054.43174
182	63943.89072
183	63852.66577
184	63755.34486
185	63569.69836
186	63406.17931
187	63297.45425
188	63184.12911
189	63046.24516
190	62936.95914
191	62748.30183
192	62583.5871
193	62407.1917
194	62378.33556
195	62237.43328
196	62122.67994
197	61930.11095
198	61791.91644
199	61698.35699
200	61604.39452
201	61484.46942
202	61367.36545
203	61256.91588
204	61175.00265
205	61010.99142
206	60895.61359
207	60813.91431
208	60695.38618
209	60481.63275
210	60403.0348
211	60301.10144
212	60221.77482
213	60163.37061
214	60105.14075
215	60037.19047
216	59929.90201
217	59834.12452
218	59728.73425
219	59626.83829
220	59404.70013
221	59162.40135
222	59070.97028
223	58974.03062
224	58892.57265
225	58816.02375
226	58457.66862
227	58133.23059
228	58051.85026
229	57950.1477
230	57883.29103
231	57776.62824
232	57531.14975
233	57432.67804
234	57334.998
235	57267.00745
236	57178.692
237	57121.30553
238	56993.50199
239	56813.10786
240	56753.39427
241	56689.48477
242	56524.28689
243	56358.42469
244	56284.67114
245	56225.36579
246	56170.20956
247	55972.81441
248	55831.23932
249	55752.44101
250	55659.92935
251	55535.81963
252	55467.18089
253	55391.46986
254	55270.89548
255	55158.39251
256	55030.17236
257	54957.4428
258	54884.10661
259	54650.34439
260	54576.51194
261	54500.57173
262	54428.7856
263	54357.16128
264	54229.78979
265	54126.161
266	54090.2469
267	53882.05333
268	53728.8973
269	53692.35119
270	53628.91916
271	53562.30141
272	53321.56396
273	53254.76696
274	53194.13808
275	53141.17983
276	53072.36483
277	52997.08012
278	52945.31599
279	52839.42797
280	52723.14057
281	52609.21264
282	52547.85406
283	52443.42842
284	52296.1168
285	52132.85159
286	51916.86414
287	51755.11534
288	51678.19031
289	51621.16626
290	51536.58863
291	51338.75762
292	51264.99908
293	51197.71686
294	51156.24907
295	51093.01568
296	50995.81259
297	50907.57055
298	50714.46502
299	50624.55543
300	50567.6765
301	50523.10967
302	50473.07789
303	50302.03011
304	50054.09175
305	50014.44221
306	49975.24297
307	49760.47227
308	49653.21388
309	49564.99823
310	49404.68116
311	49337.0894
312	49205.02524
313	49172.99768
314	48937.85838
315	48878.28714
316	48817.9078
317	48717.65118
318	48519.10385
319	48473.74306
320	48353.55524
321	48265.92487
322	48224.0077
323	48166.35709
324	48113.96589
325	48053.2283
326	48022.69494
327	47980.0804
328	47879.45691
329	47836.53442
330	47801.21065
331	47768.398
332	47696.20569
333	47630.92879
334	47534.17041
335	47501.85632
336	47452.16931
337	47413.24931
338	47326.48741
339	47293.74339
340	47234.43978
341	47149.0364
342	47097.11898
343	47066.6647
344	46994.02741
345	46844.66958
346	46751.15341
347	46706.88688
348	46648.01361
349	46521.92413
350	46405.8122
351	46377.26441
352	46268.32952
353	46209.37334
354	46174.19519
355	46075.42433
356	46047.62666
357	46021.21463
358	45996.62748
359	45943.21185
360	45868.90837
361	45789.67669
362	45674.26773
363	45631.59609
364	45604.90717
365	45514.82286
366	45489.57065
367	45402.30443
368	45183.04261
369	45151.85627
370	45138.57706
371	45097.93548
372	45056.17976
373	45022.04139
374	44815.18579
375	44726.5698
376	44692.73503
377	44630.18409
378	44562.17763
379	44520.76748
380	44443.18736
381	44388.26562
382	44335.49272
383	44200.84625
384	44175.86606
385	44070.65984
386	44043.39752
387	43967.39189
388	43903.11847
389	43779.70485
390	43703.25115
391	43620.73249
392	43563.19316
393	43487.72247
394	43460.78285
395	43264.48059
396	43192.42751
397	43108.16344
398	43021.81286
399	42946.60312
400	42907.38855
401	42884.40097
402	42853.90058
403	42795.88319
404	42737.97584
405	42708.29646
406	42634.25458
407	42602.11383
408	42578.34306
409	42496.12302
410	42429.04733
411	42353.23034
412	42315.12031
413	42275.94149
414	42215.5048
415	42095.34108
416	42003.62579
417	41939.40276
418	41912.43965
419	41872.90153
420	41830.10861
421	41798.7797
422	41658.12591
423	41602.84737
424	41495.2748
425	41470.53499
426	41437.06108
427	41401.33495
428	41308.61919
429	41244.036
430	41191.84839
431	41087.30207
432	40981.65766
433	40921.25761
434	40886.23524
435	40846.50684
436	40826.22456
437	40791.92763
438	40745.38412
439	40723.57613
440	40678.28469
441	40641.89846
442	40593.74084
443	40549.60075
444	40510.94308
445	40449.8276
446	40389.22986
447	40353.24324
448	40332.10769
449	40281.89044
450	40226.24275
451	40192.74844
452	40156.17516
453	40021.48999
454	39971.19424
455	39898.86093
456	39821.2059
457	39763.95286
458	39742.64407
459	39638.34323
460	39555.11339
461	39443.98732
462	39391.06049
463	39349.75073
464	39326.26657
465	39213.90941
466	39182.41783
467	39128.46913
468	39099.52303
469	39072.38578
470	39028.23299
471	38992.70926
472	38943.23645
473	38896.67456
474	38862.26338
475	38792.89531
476	38738.94835
477	38715.38282
478	38682.54417
479	38663.06703
480	38557.95497
481	38512.29036
482	38347.1642
483	38300.54552
484	38268.15496
485	38222.34618
486	38166.5545
487	38122.61679
488	38106.97272
489	38038.2884
490	37950.40428
491	37857.76337
492	37803.10567
493	37782.93068
494	37748.9262
495	37691.40661
496	37597.10446
497	37525.64439
498	37468.11528
499	37453.06968
