iter	Passed	Remaining
0	3	1571
1	6	1495
2	8	1402
3	10	1356
4	13	1353
5	16	1318
6	18	1337
7	21	1340
8	24	1342
9	27	1333
10	29	1322
11	32	1320
12	35	1324
13	38	1325
14	40	1316
15	42	1295
16	45	1291
17	48	1286
18	50	1280
19	53	1275
20	55	1268
21	57	1253
22	59	1242
23	62	1233
24	64	1222
25	67	1235
26	69	1224
27	72	1218
28	74	1208
29	76	1196
30	78	1185
31	80	1183
32	83	1180
33	85	1176
34	88	1171
35	90	1163
36	92	1155
37	94	1149
38	97	1147
39	99	1146
40	101	1141
41	103	1134
42	106	1129
43	108	1122
44	110	1117
45	113	1117
46	115	1112
47	117	1107
48	119	1101
49	121	1095
50	123	1091
51	125	1085
52	128	1081
53	130	1079
54	133	1077
55	135	1075
56	138	1072
57	140	1067
58	142	1063
59	145	1063
60	147	1059
61	149	1053
62	151	1047
63	153	1044
64	155	1040
65	157	1036
66	161	1040
67	163	1038
68	165	1035
69	167	1030
70	169	1026
71	171	1021
72	174	1017
73	176	1016
74	179	1015
75	181	1012
76	183	1009
77	185	1005
78	187	1000
79	189	997
80	193	998
81	195	996
82	197	994
83	200	992
84	202	989
85	204	985
86	207	984
87	209	981
88	212	979
89	214	977
90	217	975
91	219	972
92	222	974
93	225	974
94	228	975
95	231	975
96	234	972
97	237	973
98	240	972
99	242	969
100	244	967
101	247	965
102	250	964
103	252	962
104	256	963
105	258	962
106	261	960
107	263	955
108	265	951
109	267	947
110	270	948
111	273	945
112	275	942
113	277	939
114	279	936
115	281	932
116	284	930
117	287	929
118	289	926
119	292	925
120	294	923
121	296	918
122	298	915
123	301	915
124	303	911
125	305	908
126	308	904
127	310	902
128	313	901
129	315	899
130	318	897
131	320	893
132	322	889
133	325	888
134	327	884
135	329	881
136	331	878
137	334	876
138	336	873
139	338	870
140	340	866
141	342	863
142	344	859
143	346	857
144	349	855
145	351	851
146	353	847
147	355	844
148	357	841
149	359	837
150	361	835
151	363	832
152	366	830
153	368	828
154	370	824
155	373	822
156	375	820
157	377	818
158	380	815
159	382	812
160	384	809
161	385	803
162	387	801
163	390	799
164	392	796
165	394	794
166	397	792
167	400	790
168	402	788
169	403	784
170	406	782
171	409	781
172	411	778
173	414	775
174	416	773
175	418	770
176	420	767
177	422	764
178	424	761
179	427	759
180	429	757
181	431	754
182	433	751
183	435	748
184	437	745
185	440	742
186	442	740
187	444	737
188	447	735
189	449	733
190	451	730
191	453	727
192	455	724
193	458	722
194	459	718
195	461	715
196	463	713
197	465	710
198	467	707
199	469	704
200	472	702
201	474	699
202	476	697
203	478	694
204	481	692
205	483	690
206	485	687
207	488	686
208	491	683
209	493	681
210	495	679
211	497	676
212	500	673
213	502	671
214	504	669
215	507	666
216	509	664
217	512	662
218	514	660
219	516	657
220	520	656
221	522	654
222	524	651
223	526	648
224	528	645
225	530	642
226	532	640
227	535	638
228	537	636
229	540	634
230	543	632
231	545	630
232	547	627
233	550	626
234	553	624
235	556	622
236	558	619
237	561	617
238	566	618
239	570	617
240	572	615
241	575	613
242	578	611
243	582	611
244	585	609
245	588	607
246	590	604
247	592	602
248	595	600
249	598	598
250	601	596
251	603	593
252	605	591
253	607	588
254	610	586
255	614	585
256	617	583
257	619	581
258	622	579
259	624	576
260	627	574
261	630	572
262	633	570
263	636	568
264	639	566
265	642	565
266	645	563
267	648	561
268	650	558
269	652	556
270	655	554
271	658	551
272	661	549
273	663	547
274	666	545
275	668	542
276	670	539
277	673	538
278	676	535
279	678	533
280	680	530
281	682	527
282	685	525
283	687	523
284	690	520
285	693	518
286	695	516
287	698	513
288	699	510
289	701	508
290	704	505
291	707	503
292	709	501
293	711	498
294	714	496
295	716	493
296	720	492
297	722	489
298	725	487
299	728	485
300	730	483
301	733	481
302	736	478
303	739	476
304	741	474
305	744	471
306	746	469
307	749	467
308	753	465
309	756	463
310	759	461
311	761	458
312	763	456
313	765	453
314	768	451
315	771	449
316	773	446
317	776	444
318	779	442
319	781	439
320	785	438
321	789	436
322	792	434
323	794	431
324	797	429
325	800	427
326	803	424
327	806	422
328	808	420
329	811	417
330	814	415
331	816	412
332	818	410
333	821	408
334	823	405
335	825	402
336	827	400
337	830	398
338	833	395
339	835	393
340	838	390
341	840	388
342	843	385
343	845	383
344	848	381
345	850	378
346	852	375
347	854	373
348	856	370
349	859	368
350	862	366
351	864	363
352	866	361
353	869	358
354	871	355
355	873	353
356	876	351
357	878	348
358	881	346
359	883	343
360	885	341
361	888	338
362	891	336
363	894	334
364	896	331
365	898	329
366	900	326
367	902	323
368	905	321
369	907	318
370	909	316
371	912	313
372	914	311
373	916	308
374	918	306
375	920	303
376	922	301
377	925	298
378	927	296
379	929	293
380	931	291
381	934	288
382	936	286
383	938	283
384	941	281
385	943	278
386	945	276
387	947	273
388	949	271
389	952	268
390	955	266
391	957	263
392	958	261
393	961	258
394	962	255
395	964	253
396	967	250
397	969	248
398	972	246
399	974	243
400	976	241
401	979	238
402	981	236
403	983	233
404	985	231
405	987	228
406	989	226
407	991	223
408	993	221
409	996	218
410	998	216
411	1000	213
412	1003	211
413	1005	208
414	1007	206
415	1009	203
416	1011	201
417	1014	198
418	1016	196
419	1018	194
420	1021	191
421	1024	189
422	1026	186
423	1028	184
424	1030	181
425	1033	179
426	1036	177
427	1038	174
428	1040	172
429	1043	169
430	1046	167
431	1048	165
432	1050	162
433	1052	160
434	1055	157
435	1057	155
436	1059	152
437	1061	150
438	1064	147
439	1067	145
440	1069	143
441	1072	140
442	1074	138
443	1076	135
444	1079	133
445	1081	130
446	1084	128
447	1086	126
448	1089	123
449	1091	121
450	1093	118
451	1096	116
452	1098	113
453	1100	111
454	1103	109
455	1104	106
456	1107	104
457	1110	101
458	1112	99
459	1115	96
460	1117	94
461	1119	92
462	1122	89
463	1124	87
464	1127	84
465	1130	82
466	1132	80
467	1135	77
468	1137	75
469	1139	72
470	1141	70
471	1144	67
472	1146	65
473	1149	63
474	1152	60
475	1154	58
476	1157	55
477	1160	53
478	1163	50
479	1165	48
480	1168	46
481	1170	43
482	1172	41
483	1175	38
484	1177	36
485	1180	34
486	1183	31
487	1185	29
488	1187	26
489	1189	24
490	1192	21
491	1194	19
492	1197	16
493	1199	14
494	1201	12
495	1204	9
496	1206	7
497	1209	4
498	1211	2
499	1213	0
