iter	Logloss
0	0.6675446295
1	0.644286764
2	0.6229475104
3	0.6030951325
4	0.585670525	05	0.569629376	06	0.554730837	07	0.541000898	08	0.529083159	09	0.5183567610	10	0.5080922211	11	0.4988814212	12	0.4907122213	13	0.4834703314	14	0.4761168715	15	0.4697888916	16	0.463528217	017	0.457919618	018	0.452955319	019	0.448596420	020	0.444705321	021	0.440864922	22	0.4375976323	23	0.4346451124	24	0.431876525	025	0.429362226	026	0.426984327	027	0.424736528	028	0.422931729	029	0.420855330	030	0.41902331	031	0.417496332	032	0.416099733	033	0.414950534	034	0.413826035	035	0.412862536	0.4127290543
37	0.4115715064
38	0.4106652862
39	0.4097424959
40	0.4090563862
41	0.4083628663
42	0.4077796095
43	0.4071363032
44	0.4065654606
45	0.4060600519
46	0.4055878145
47	0.4051044232
48	0.4047503724
49	0.4044072591
50	0.4040015398
51	0.4035805745
52	0.403292163
53	0.4029535295
54	0.4027275773
55	0.402419515
56	0.402211819
57	0.4018581996
58	0.4016680471
59	0.59	0.40137560	0.60	0.401161	0.4061	0.400962	0.4062	0.400763	0.6363	0.400664	0.6464	0.400565	0.6565	0.400466	0.66	0.39849467	0.67	0.39833268	0.68	0.39815769	069	0.398012370	070	0.3979007779
71	0.3977809854
72	0.39765373	0.73	0.3975774	0.374	0.3974575	0.375	0.3973496546
76	0.3972366019
77	0.3971393553
78	0.397012488
79	0.3968772735
80	0.3967891394
81	0.3966878872
82	0.3965778442
83	0.396532447
84	0.3964338519
85	0.39633007
86	0.3962957953
87	0.3962026247
88	0.3961230117
89	0.3960642311
90	0.3959933291
91	0.3959523825
92	0.3958956659
93	0.3958622234
94	0.3958046653
95	0.395745947
96	0.3956783011
97	0.395628922
98	0.3955532834
99	0.3955320468
100	0.395511905
101	0.3954870486
102	0.3954637397
103	0.3953873175
104	0.3953475564
105	0.3953273407
106	0.395269207
107	0.3952186573
108	0.3952111781
109	0.3951682751
110	0.3951147429
111	0.3950551927
112	0.3950302404
113	0.3950253557
114	0.394976397
115	0.3949575665
116	0.3949048326
117	0.3948674653
118	0.3948236294
119	0.3947916772
120	0.3947727424
121	0.3947530916
122	0.3947078697
123	0.3946713424
124	0.39463929
125	0.3946348986
126	0.3945926165
127	0.3945601875
128	0.3945196217
129	0.3944898571
130	0.3944708361
131	0.394413603
132	0.394389995
133	0.3943551612
134	0.3943324828
135	0.3943049429
136	0.3942713714
137	0.3942490494
138	0.3942489701
139	0.3942205143
140	0.3942073103
141	0.3941885733
142	0.3941561515
143	0.3940989064
144	0.3940805729
145	0.3940548788
146	0.3940251823
147	0.3939812379
148	0.3939455527
149	0.3939228161
150	0.3938963073
151	0.3938661522
152	0.3938427809
153	0.393842743
154	0.3938125204
155	0.3938091082
156	0.3937495877
157	0.3937328469
158	0.3936959694
159	0.3936743951
160	0.3936542932
161	0.393631883
162	0.3935953704
163	0.393571835
164	0.3935530668
165	0.3935407664
166	0.3935258139
167	0.3935036057
168	0.3934869474
169	0.3934674433
170	0.3934457145
171	0.3933991049
172	0.3933991374
173	0.3933799136
174	0.3933576133
175	0.3933357105
176	0.3932920424
177	0.3932688739
178	0.3932490994
179	0.393221636
180	0.3932083786
181	0.3931868411
182	0.3931520908
183	0.3931316489
184	0.3931050385
185	0.3930788333
186	0.3930359198
187	0.3930019086
188	0.3929721625
189	0.3929270012
190	0.3928924913
191	0.3928638847
192	0.3928500268
193	0.3928362671
194	0.3928146982
195	0.3927828063
196	0.3927590313
197	0.3927466759
198	0.3927193439
199	0.3926811642
200	0.392660521
201	0.3926385173
202	0.3926384693
203	0.3926133481
204	0.3925884948
205	0.3925718685
206	0.3925489465
207	0.3925173783
208	0.392516512
209	0.3925037081
210	0.392503678
211	0.3924845558
