iter	Passed	Remaining
0	164	163911
1	177	88585
2	190	63335
3	205	51056
4	219	43683
5	232	38458
6	243	34499
7	258	32067
8	270	29785
9	284	28186
10	298	26811
11	310	25527
12	322	24488
13	333	23468
14	347	22839
15	361	22217
16	376	21767
17	391	21363
18	407	21033
19	421	20629
20	431	20127
21	446	19840
22	458	19472
23	470	19123
24	484	18907
25	499	18708
26	512	18465
27	526	18274
28	539	18077
29	551	17842
30	564	17646
31	579	17523
32	592	17367
33	605	17212
34	619	17077
35	629	16856
36	644	16785
37	659	16689
38	672	16566
39	684	16438
40	698	16327
41	709	16191
42	725	16149
43	739	16067
44	753	15981
45	767	15914
46	778	15788
47	790	15681
48	804	15608
49	817	15526
50	829	15442
51	841	15347
52	854	15260
53	865	15168
54	877	15083
55	890	15003
56	902	14928
57	914	14846
58	926	14774
59	939	14718
60	954	14692
61	966	14626
62	981	14596
63	995	14552
64	1006	14471
65	1019	14426
66	1028	14321
67	1042	14284
68	1055	14248
69	1070	14218
70	1086	14221
71	1099	14175
72	1112	14124
73	1123	14061
74	1139	14048
75	1153	14020
76	1164	13954
77	1178	13928
78	1192	13906
79	1209	13908
80	1222	13869
81	1235	13836
82	1250	13820
83	1263	13777
84	1276	13737
85	1289	13708
86	1303	13678
87	1318	13660
88	1332	13634
89	1345	13607
90	1360	13585
91	1372	13548
92	1388	13537
93	1401	13505
94	1416	13493
95	1429	13456
96	1444	13448
97	1460	13445
98	1474	13415
99	1487	13383
100	1502	13376
101	1518	13373
102	1534	13360
103	1548	13342
104	1563	13323
105	1574	13275
106	1588	13260
107	1603	13241
108	1615	13204
109	1630	13195
110	1646	13190
111	1664	13198
112	1679	13180
113	1690	13135
114	1705	13128
115	1719	13100
116	1733	13085
117	1746	13057
118	1759	13024
119	1773	13005
120	1785	12973
121	1797	12934
122	1810	12909
123	1821	12870
124	1834	12840
125	1845	12798
126	1857	12768
127	1870	12740
128	1883	12720
129	1898	12704
130	1913	12693
131	1928	12682
132	1942	12662
133	1957	12648
134	1969	12617
135	1982	12595
136	1995	12571
137	2008	12546
138	2018	12505
139	2035	12501
140	2045	12462
141	2059	12441
142	2072	12421
143	2086	12401
144	2099	12379
145	2114	12370
146	2126	12340
147	2139	12313
148	2150	12283
149	2163	12259
150	2174	12227
151	2187	12205
152	2200	12180
153	2211	12147
154	2225	12134
155	2239	12118
156	2256	12116
157	2268	12088
158	2282	12072
159	2296	12054
160	2308	12027
161	2322	12016
162	2336	11997
163	2351	11987
164	2369	11991
165	2385	11986
166	2397	11960
167	2411	11942
168	2425	11925
169	2439	11908
170	2452	11891
171	2468	11883
172	2478	11846
173	2491	11826
174	2508	11826
175	2521	11807
176	2535	11787
177	2547	11766
178	2559	11739
179	2572	11718
180	2584	11695
181	2597	11672
182	2610	11653
183	2623	11634
184	2638	11624
185	2651	11605
186	2663	11580
187	2676	11560
188	2689	11540
189	2703	11524
190	2717	11511
191	2731	11495
192	2744	11477
193	2756	11454
194	2769	11433
195	2782	11412
196	2797	11403
197	2811	11386
198	2824	11369
199	2838	11355
200	2851	11336
201	2869	11336
202	2881	11311
203	2896	11301
204	2911	11290
205	2925	11276
206	2939	11260
207	2953	11247
208	2964	11219
209	2976	11197
210	2985	11165
211	2999	11147
212	3012	11129
213	3025	11113
214	3039	11098
215	3054	11087
216	3068	11072
217	3083	11061
218	3096	11043
219	3109	11025
220	3123	11009
221	3136	10991
222	3150	10977
223	3162	10957
224	3178	10946
225	3189	10923
226	3202	10906
227	3216	10891
228	3231	10881
229	3244	10861
230	3261	10857
231	3278	10851
232	3290	10830
233	3304	10817
234	3314	10790
235	3328	10776
236	3340	10753
237	3354	10739
238	3369	10727
239	3382	10712
240	3398	10703
241	3408	10677
242	3422	10661
243	3435	10643
244	3446	10619
