ID,Age,Agency,Agency Type,Commision (in value),Destination,Distribution Channel,Duration,Gender,Net Sales,Product Name,Claim
45341,28,C2B,Airlines,28.13,SINGAPORE,Online,34,F,112.5,Silver Plan,1
12958,37,JZI,Airlines,12.95,PHILIPPINES,Online,53,F,37.0,Basic Plan,0
18233,27,EPX,Travel Agency,0.0,UNITED STATES,Online,28,,13.0,Cancellation Plan,0
31742,36,EPX,Travel Agency,0.0,SAUDI ARABIA,Online,1,,34.0,Cancellation Plan,0
14381,26,CWT,Travel Agency,23.76,THAILAND,Online,33,,39.6,Rental Vehicle Excess Insurance,0
9279,39,CWT,Travel Agency,59.4,AUSTRALIA,Online,78,,99.0,Rental Vehicle Excess Insurance,0
6217,34,CWT,Travel Agency,23.76,AUSTRALIA,Online,27,,0.0,Rental Vehicle Excess Insurance,0
52027,45,JZI,Airlines,9.1,HONG KONG,Online,10,M,26.0,Basic Plan,0
24167,32,C2B,Airlines,63.21,SINGAPORE,Online,368,M,252.85,Annual Silver Plan,1
19885,59,C2B,Airlines,63.21,SINGAPORE,Online,377,F,252.85,Annual Silver Plan,0
61994,27,C2B,Airlines,5.0,SINGAPORE,Online,9,M,20.0,Bronze Plan,0
35976,36,EPX,Travel Agency,0.0,HONG KONG,Online,74,,16.0,Cancellation Plan,1
29735,36,EPX,Travel Agency,0.0,SINGAPORE,Online,19,,80.0,Cancellation Plan,0
42658,33,C2B,Airlines,17.25,SINGAPORE,Online,27,M,69.0,Gold Plan,1
60638,50,C2B,Airlines,54.0,SINGAPORE,Online,364,M,216.0,Annual Silver Plan,0
17806,36,EPX,Travel Agency,0.0,CHINA,Online,5,,112.0,2 way Comprehensive Plan,0
46954,67,C2B,Airlines,54.0,SINGAPORE,Online,371,F,216.0,Annual Silver Plan,0
51358,55,CWT,Travel Agency,17.82,UNITED KINGDOM,Online,44,,29.7,Rental Vehicle Excess Insurance,0
21920,47,JZI,Airlines,12.6,BAHRAIN,Online,12,M,36.0,Basic Plan,0
27267,41,JZI,Airlines,23.45,NETHERLANDS,Online,29,M,67.0,Value Plan,0
38527,36,EPX,Travel Agency,0.0,THAILAND,Online,7,,81.0,2 way Comprehensive Plan,0
6329,36,EPX,Travel Agency,0.0,SWITZERLAND,Online,177,,59.0,Cancellation Plan,0
24367,43,JZI,Airlines,51.45,JAPAN,Online,38,M,147.0,Value Plan,0
40883,35,JZI,Airlines,6.3,MALAYSIA,Online,1,M,18.0,Basic Plan,0
1720,46,EPX,Travel Agency,0.0,INDONESIA,Online,1,,20.0,1 way Comprehensive Plan,0
40960,36,EPX,Travel Agency,0.0,INDIA,Online,26,,29.0,2 way Comprehensive Plan,0
39596,51,EPX,Travel Agency,0.0,UNITED STATES,Online,66,,80.0,Cancellation Plan,0
62283,53,EPX,Travel Agency,0.0,BANGLADESH,Online,5,,54.0,2 way Comprehensive Plan,0
26311,36,EPX,Travel Agency,0.0,INDIA,Online,44,,22.0,1 way Comprehensive Plan,0
30854,45,C2B,Airlines,4.25,SINGAPORE,Online,61,F,17.0,Bronze Plan,0
62805,28,C2B,Airlines,6.75,SINGAPORE,Online,10,F,27.0,Bronze Plan,1
51781,36,EPX,Travel Agency,0.0,CAMBODIA,Online,4,,38.0,Cancellation Plan,0
50457,36,EPX,Travel Agency,0.0,HONG KONG,Online,27,,21.0,Cancellation Plan,0
8468,36,EPX,Travel Agency,0.0,FRANCE,Online,100,,48.0,Cancellation Plan,0
54880,36,EPX,Travel Agency,0.0,VIET NAM,Online,2,,10.0,Cancellation Plan,0
12141,36,EPX,Travel Agency,0.0,HONG KONG,Online,41,,21.0,2 way Comprehensive Plan,0
7848,36,EPX,Travel Agency,0.0,JAPAN,Online,28,,47.0,2 way Comprehensive Plan,0
58622,35,EPX,Travel Agency,0.0,CZECH REPUBLIC,Online,10,,85.0,2 way Comprehensive Plan,0
1478,22,EPX,Travel Agency,0.0,AUSTRALIA,Online,96,,24.0,Cancellation Plan,0
1132,40,EPX,Travel Agency,0.0,JAPAN,Online,82,,26.0,Cancellation Plan,0
35227,24,C2B,Airlines,3.38,SINGAPORE,Online,5,F,13.5,Bronze Plan,1
33778,29,C2B,Airlines,8.63,SINGAPORE,Online,21,F,34.5,Bronze Plan,0
55825,36,EPX,Travel Agency,0.0,SINGAPORE,Online,1,,10.0,Cancellation Plan,0
33090,36,EPX,Travel Agency,0.0,SINGAPORE,Online,12,,89.0,2 way Comprehensive Plan,0
9904,38,JZI,Airlines,6.3,INDONESIA,Online,16,F,-18.0,Basic Plan,0
46922,28,C2B,Airlines,20.13,SINGAPORE,Online,25,F,80.5,Bronze Plan,0
41419,28,C2B,Airlines,5.25,SINGAPORE,Online,13,F,21.0,Bronze Plan,1
25390,36,EPX,Travel Agency,0.0,CHINA,Online,71,,13.0,Cancellation Plan,0
30937,36,EPX,Travel Agency,0.0,ITALY,Online,21,,80.0,Cancellation Plan,0
40980,33,EPX,Travel Agency,0.0,UNITED STATES,Online,27,,80.0,Cancellation Plan,0
10558,40,JZI,Airlines,21.35,NETHERLANDS,Online,88,M,61.0,Basic Plan,1
922,79,JZI,Airlines,12.25,CHINA,Online,36,M,35.0,Basic Plan,0
60720,118,JWT,Airlines,31.2,INDIA,Online,25,F,78.0,Value Plan,1
42020,60,TST,Travel Agency,10.5,MALAYSIA,Offline,112,F,30.0,Travel Cruise Protect,0
38117,47,C2B,Airlines,18.0,SINGAPORE,Online,21,F,72.0,Silver Plan,1
46952,47,C2B,Airlines,64.8,SINGAPORE,Online,372,F,259.2,Annual Silver Plan,0
49956,30,EPX,Travel Agency,0.0,UNITED STATES,Online,23,,110.0,2 way Comprehensive Plan,0
60887,49,JZI,Airlines,11.55,THAILAND,Online,7,M,33.0,Value Plan,1
60287,41,CWT,Travel Agency,65.34,NETHERLANDS,Online,19,,108.9,Rental Vehicle Excess Insurance,0
24847,36,EPX,Travel Agency,0.0,SINGAPORE,Online,1,,10.0,Cancellation Plan,0
49061,36,EPX,Travel Agency,0.0,GERMANY,Online,22,,73.0,2 way Comprehensive Plan,0
21669,48,SSI,Airlines,0.22,SINGAPORE,Online,22,,0.77,Ticket Protector,0
4045,52,JZI,Airlines,6.3,PHILIPPINES,Online,1,M,18.0,Basic Plan,0
15811,28,EPX,Travel Agency,0.0,"KOREA, REPUBLIC OF",Online,26,,34.0,2 way Comprehensive Plan,0
38910,36,EPX,Travel Agency,0.0,MALAYSIA,Online,3,,34.0,Cancellation Plan,1
30183,54,CWT,Travel Agency,35.64,UNITED STATES,Online,7,,59.4,Rental Vehicle Excess Insurance,0
