Country Name;Country Code;Indicator Name;2020
Arab World;ARB;Population, female;210
Arab World;ARB;Population, male;226
Arab World;ARB;Population, total;436
Caribbean small states;CSS;Population, female;4
Caribbean small states;CSS;Population, male;4
Caribbean small states;CSS;Population, total;7
Central Europe and the Baltics;CEB;Population, female;53
Central Europe and the Baltics;CEB;Population, male;49
Central Europe and the Baltics;CEB;Population, total;102
Early-demographic dividend;EAR;Population, female;1635
Early-demographic dividend;EAR;Population, male;1697
Early-demographic dividend;EAR;Population, total;3332
East Asia & Pacific;EAS;Population, female;1161
East Asia & Pacific;EAS;Population, male;1192
East Asia & Pacific;EAS;Population, total;2353
East Asia & Pacific (excluding high income);EAP;Population, female;1035
East Asia & Pacific (excluding high income);EAP;Population, male;1070
East Asia & Pacific (excluding high income);EAP;Population, total;2106
East Asia & Pacific (IDA & IBRD countries);TEA;Population, female;1022
East Asia & Pacific (IDA & IBRD countries);TEA;Population, male;1058
East Asia & Pacific (IDA & IBRD countries);TEA;Population, total;2080
Euro area;EMU;Population, female;175
Euro area;EMU;Population, male;168
Euro area;EMU;Population, total;343
Europe & Central Asia;ECS;Population, female;474
Europe & Central Asia;ECS;Population, male;447
Europe & Central Asia;ECS;Population, total;923
Europe & Central Asia (excluding high income);ECA;Population, female;208
Europe & Central Asia (excluding high income);ECA;Population, male;191
Europe & Central Asia (excluding high income);ECA;Population, total;401
Europe & Central Asia (IDA & IBRD countries);TEC;Population, female;240
Europe & Central Asia (IDA & IBRD countries);TEC;Population, male;221
Europe & Central Asia (IDA & IBRD countries);TEC;Population, total;462
European Union;EUU;Population, female;229
European Union;EUU;Population, male;219
European Union;EUU;Population, total;447
Fragile and conflict affected situations;FCS;Population, female;407
Fragile and conflict affected situations;FCS;Population, male;408
Fragile and conflict affected situations;FCS;Population, total;817
Heavily indebted poor countries (HIPC);HPC;Population, female;413
Heavily indebted poor countries (HIPC);HPC;Population, male;411
Heavily indebted poor countries (HIPC);HPC;Population, total;823
High income;HIC;Population, female;622
High income;HIC;Population, male;617
High income;HIC;Population, total;1240
Late-demographic dividend;LTE;Population, female;1143
Late-demographic dividend;LTE;Population, male;1165
Late-demographic dividend;LTE;Population, total;2309
Latin America & Caribbean;LCN;Population, female;331
